"Add Recipient","Thêm người nhận"
"Allow for Guests","Cho phép khách gửi"
"An invalid email address for recipient was entered.","An invalid email address for recipient was entered."
"At least one recipient must be specified.","At least one recipient must be specified."
"Back","Quay lại"
"Catalog Product Email to a Friend","Catalog Product Email to a Friend"
"Email Address","Địa chỉ email"
"Email Address:","Địa chỉ email:"
"Email Templates","Mẫu email"
"Email to a Friend","Gửi cho bạn bè"
"Email:","Địa chỉ email:"
"Enabled","Enabled"
"Invalid Sender Information","Sai thông tin người gửi"
"Invalid sender email.","Sai email người gửi."
"Limit Sending By","Giới hạn số lần gửi"
"Max Products Sent in 1 Hour","Số sản phẩm được gửi trong 1 giờ"
"Max Recipients","Số người nhận tối đa"
"Maximum %d email addresses allowed.","Bạn chỉ có thể gửi %d email người nhận."
"Message:","Tin nhắn kèm theo:"
"Name","Tên"
"Name:","Tên:"
"No more than %d emails can be sent at a time.","Bạn không được gửi quá %d trong cùng khoảng thời gian."
"Please define a correct Cookie instance.","Please define a correct Cookie instance."
"Please define a correct Product instance.","Please define a correct Product instance."
"Please define the correct Sender information.","Please define the correct Sender information."
"Recipient:","Người nhận:"
"Remove Email","Xóa bỏ"
"Select Email Template","Chọn mẫu email"
"Send Email","Gửi ngay"
"Send product to a friend","Gửi sản phẩm cho bạn bè"
"Sender:","Người gửi:"
"Some emails were not sent.","Some emails were not sent."
"The link to a friend was sent.","The link to a friend was sent."
"The message cannot be empty.","Phần tin nhắn phải nhập thông tin."
"The messages cannot be sent more than %d times in an hour","The messages cannot be sent more than %d times in an hour"
"The sender name cannot be empty.","Bạn phải nhập tên người gửi."
"There were some problems with the data.","There were some problems with the data."
"You have exceeded limit of %d sends in an hour","Bạn đã gửi quá số lượng cho phép: %d lần gửi trong khoảng thời gian"